ID,RA[hr],Dec[deg],dist[pc],rhm[pc],mass[Msun],age[Myr],[Fe/H],sigma_v0_z[km/s],OpSimID,OpSimRA[deg],OpSimDec[deg]
C_0756-287,07 58 47.280,-28 48 18.000,2400.18,1.512268730028792,46.07093208368477,201.49205224213887,-0.4974174718196457,0.1586687697619337,1335.0,119.782774,-29.40758
[KPS2012]_MWSC_1685,09 32 51.000,-28 50 54.000,1753.0,8.561810640282731,44.5,251.18864315095814,-0.4974174718196457,0.06553746479221555,1348.0,144.000038,-28.931837
Dutra-Cl_Bica_58,17 45 04.000,-28 50 54.000,1182.0,1.7898612760935884,5.5,1.0,-0.4974174718196457,0.05039229059928538,1322.0,266.892152,-29.966329
C_0724-287,07 26 34.000,-28 48 00.000,1539.5,1.1227305898501316,18.375,1337.1251572590006,-0.4974174718196457,0.11629695324928152,1317.0,111.217914,-30.352921
[KPS2012]_MWSC_5122,11 43 55.000,-28 47 54.000,1947.0,3.207156305224554,10.5,3162.2776601683795,-0.4974174718196457,0.05201481132123944,1403.0,174.323473,-28.079045
[KPS2012]_MWSC_0950,06 40 01.000,-28 46 12.000,1685.0,2.324974441111259,32.0,467.735141287198,-0.4974174718196457,0.1066493809216303,1365.0,99.285194,-28.778643
Cl_Collinder_351,17 49 02.000,-28 44 42.000,1570.0,2.177357016278798,439.75,669.4,-0.4974174718196457,0.4085361977615487,1322.0,266.892152,-29.966329
Cl_Ruprecht_133,17 52 24.000,-28 39 06.000,5246.0,6.255288377275531,8.333333333333334,100.0,-0.4974174718196457,0.03318013510449692,1430.0,269.009172,-27.438929
Dutra-Cl_Bica_30,17 56 56.000,-28 37 30.000,7061.0,11.10821121864268,47.5,309.0295432513592,-0.4974174718196457,0.0594452532222731,1430.0,269.009172,-27.438929
C_0757-284,07 58 49.920,-28 33 28.800,4797.7,3.7726209172318463,1464.9168566959825,8.387953556925236,-0.4974174718196457,0.5664705613871,1335.0,119.782774,-29.40758
NGC_5998,15 49 26.000,-28 35 00.000,4853.0,3.893409579956156,27.5,3162.2776601683795,-0.4974174718196457,0.07640006735697666,1324.0,237.10792,-29.966322
[KPR2005]_87,17 02 37.920,-28 25 15.600,849.1600000000003,4.210146442177324,1342.1355611459946,262.31947498743574,-0.4974174718196457,0.5132654508078867,1432.0,254.602282,-27.292748
Cl_Ruprecht_168,17 52 50.000,-28 26 24.000,2024.0,10.90523725949805,158.0,842.3836078627774,-0.4974174718196457,0.1094216917977632,1430.0,269.009172,-27.438929
C_0703-283,07 05 58.000,-28 24 36.000,1789.0,1.0702263300353414,23.66666666666667,501.1872336272715,-0.4974174718196457,0.13518333999446872,1346.0,108.00003,-28.996485
C_0742-282,07 44 43.680,-28 23 02.400,2728.3,2.233147153144214,53.6,609.5368972401694,-0.4974174718196457,0.14083680528430298,1363.0,116.714789,-28.778643
ESO_435-48,10 09 32.000,-28 21 30.000,1819.0,0.9595132614109958,12.0,501.1872336272715,-0.4974174718196457,0.10166174813946934,1389.0,153.615102,-28.547365
Dutra-Cl_Bica_28,17 53 27.000,-28 19 12.000,7575.0,6.2368361991714725,22.0,251.18864315095814,-0.4974174718196457,0.05399102997258015,1430.0,269.009172,-27.438929
C_0705-281,07 07 10.000,-28 13 18.000,1560.5,2.343426619215317,46.634726591770104,258.6920467716478,-0.4974174718196457,0.12823940053029617,1346.0,108.00003,-28.996485
C_1756-281,17 59 44.000,-28 12 24.000,926.4,0.715,10.5,532.708391362424,-0.4974174718196457,0.11016257270597375,1430.0,269.009172,-27.438929
ESO_429-2,07 33 25.000,-28 11 24.000,2057.0,1.9743830571341647,18.5,7.943282347242823,-0.4974174718196457,0.08799593242976309,1409.0,113.676505,-28.079022
[KPR2005]_43,07 53 04.000,-28 10 30.000,1002.5,1.5499829607408393,228.7847708708543,131.73600660905805,-0.4974174718196457,0.3492549219648381,1363.0,116.714789,-28.778643
NGC_2527,08 04 59.040,-28 07 19.200,618.0142857142857,1.6652416242713066,198.1798657954734,668.4511633424672,0.104,0.31360543242747574,1443.0,121.959084,-26.923742
[KPS2012]_MWSC_1362,07 52 08.640,-28 07 12.000,4836.3,3.4936898447922218,26.16666666666667,134.8962882591656,-0.4974174718196457,0.0786727748574407,1363.0,116.714789,-28.778643
[KPS2012]_MWSC_2417,16 29 09.000,-27 57 42.000,7468.0,8.783236777531423,53.5,3981.0717055349687,-0.4974174718196457,0.07094830704243803,1408.0,246.323495,-28.079022
NGC_2483,07 55 41.000,-27 54 18.000,1862.5,1.3524348978615843,127.74144909845569,25.52267768716705,-0.4974174718196457,0.2793831283833127,1458.0,118.946993,-26.341543
Teutsch_25,07 48 27.000,-27 54 00.000,2839.0,1.1993915767637449,11.0,1819.7008586099826,-0.4974174718196457,0.08705791994701072,1363.0,116.714789,-28.778643
NGC_6520,18 03 25.440,-27 53 02.400,1576.1285714285714,0.8344599292465448,733.0980740705162,235.54574373756057,-0.4974174718196457,0.8520610972161062,1412.0,272.09816,-27.883556
C_0810-277,08 12 25.920,-27 54 46.800,2794.200000000001,3.5330556643185522,61.75,1548.8166189124795,-0.4974174718196457,0.12018096368409009,1443.0,121.959084,-26.923742
ESO_432-3,08 42 59.000,-27 51 54.000,1831.0,1.383913357804321,27.0,1584.8931924611109,-0.4974174718196457,0.1269754827289336,1399.0,131.224689,-28.254193
[DBS2003]_12,07 20 13.000,-27 46 18.000,3497.0,1.826765632301704,21.5,295.12092266663905,-0.4974174718196457,0.09862119369514495,1435.0,110.602204,-27.292743
ESO_429-3,07 35 25.200,-27 42 28.800,5604.45,2.95503339069104,798.0,590.2659153386766,-0.4974174718196457,0.47240304738175065,1409.0,113.676505,-28.079022
ESO_494-9,07 59 16.000,-27 35 00.000,1905.0,1.7529569198854733,40.0,543.2503314924325,-0.4974174718196457,0.13732095504701472,1458.0,118.946993,-26.341543
[KPS2012]_MWSC_5301,15 45 09.000,-27 30 36.000,3950.0,3.207156305224554,27.0,1995.2623149688827,-0.4974174718196457,0.0834092584293293,1422.0,234.990876,-27.438948
C_1803-274,18 06 31.000,-27 26 48.000,7376.0,3.207156305224554,21.0,3162.2776601683795,-0.4974174718196457,0.07356005161477441,1412.0,272.09816,-27.883556
Cl_Czernik_37,17 53 16.800,-27 22 22.800,1878.0666666666666,0.7509012676049731,74.1,588.8436553555886,-0.4974174718196457,0.2855683856172744,1430.0,269.009172,-27.438929
ESO_493-3,07 39 41.000,-27 17 42.000,1400.0,3.6904356208115225,89.15072616840445,223.00729739249488,-0.4974174718196457,0.14129151011976515,1409.0,113.676505,-28.079022
C_0638-272,06 40 06.000,-27 11 20.400,1596.7666666666669,0.905536862802836,13.75,2238.721138568338,-0.4974174718196457,0.11201875022927463,1506.0,100.035789,-25.698267
C_0759-270,08 01 09.120,-27 12 43.200,2789.720000000001,1.079146594964472,23.8,291.88519321850066,-0.4974174718196457,0.13500215382426253,1458.0,118.946993,-26.341543
NGC_2453,07 47 34.560,-27 11 38.400,2472.383333333333,1.0539709278223677,27.4,48.39065592078264,-0.4974174718196457,0.14657280755064575,1363.0,116.714789,-28.778643
[FSR2007]_0002,17 32 32.000,-27 04 30.000,3739.0,3.358296414938485,46.0,3548.133892335761,-0.4974174718196457,0.1063927033390866,1463.0,262.946989,-26.34153
NAME_AH03_J0748-26.9,07 48 38.160,-26 58 26.400,2911.6,1.843777206435386,25.83333333333333,501.1872336272715,-0.4974174718196457,0.10760400702233622,1500.0,115.964215,-25.698276
C_0812-268,08 15 11.000,-26 58 12.000,1764.0,1.5130786045327242,14.666666666666664,944.0608762859227,-0.4974174718196457,0.08950090090453675,1423.0,125.009124,-27.438948
C_0751-268,07 53 46.320,-26 59 31.200,3653.833333333334,2.7611985889935347,16.75,732.8245331389046,-0.4974174718196457,0.07080289660807475,1458.0,118.946993,-26.341543
ESO_524-1,18 56 40.000,-26 57 00.000,2797.333333333333,2.1220004819666247,52.5,2111.35510677892,-0.4974174718196457,0.1429879216671916,1481.0,283.285047,-26.053426
C_0808-268,08 10 43.000,-26 56 24.000,1611.5,1.8452178104057613,127.40345327814128,461.6267662860648,-0.4974174718196457,0.2388686868411191,1443.0,121.959084,-26.923742
[KPS2012]_MWSC_5715,19 33 34.000,-26 53 42.000,2170.0,3.207156305224554,32.5,229.086765276777,-0.4974174718196457,0.09151115955652334,1485.0,292.71498,-26.053413
[KPS2012]_MWSC_1017,06 54 41.000,-26 47 42.000,2237.0,8.082054009577234,30.0,562.3413251903492,-0.4974174718196457,0.05538500436897031,1433.0,105.397718,-27.292748
[KPS2012]_MWSC_3031,18 58 44.000,-26 47 36.000,1875.0,0.8488001927866501,24.5,31.622776601683803,-0.4974174718196457,0.1544446072215539,1481.0,283.285047,-26.053426
[KPS2012]_MWSC_2515,17 02 08.000,-26 46 54.000,4627.0,4.649948882222518,23.5,1995.2623149688827,-0.4974174718196457,0.06462525696246356,1432.0,254.602282,-27.292748
C_0801-266,08 03 13.000,-26 46 12.000,1785.5,1.2983219738272265,9.375,113.28246049583755,-0.4974174718196457,0.07724793445374914,1443.0,121.959084,-26.923742
ESO_489-1,06 05 01.000,-26 44 00.000,981.0,1.144035042451572,12.0,707.9457843841373,-0.4974174718196457,0.09310294110320894,1431.0,90.990828,-27.438929
ESO_502-19,11 08 07.000,-26 43 00.000,1338.0,0.8303480146825926,10.0,1621.810097358933,-0.4974174718196457,0.09976136098007146,1449.0,166.040936,-26.923711
Dutra-Cl_Bica_33,17 45 29.000,-26 41 48.000,998.0,3.207156305224554,23.0,5.623413251903491,-0.4974174718196457,0.07698325960637414,1446.0,265.959068,-26.923715
[KPS2012]_MWSC_3037,19 01 24.000,-26 34 12.000,2711.0,2.048191769550395,54.5,1428.8939585111007,-0.4974174718196457,0.1482877869960368,1469.0,286.426783,-26.140567
[KPR2005]_32,07 02 51.360,-26 30 43.200,765.72,2.8003272647354915,265.6540710949,121.91351987088213,-0.4974174718196457,0.2799924266954705,1433.0,105.397718,-27.292748
C_0735-264,07 37 41.520,-26 30 57.600,856.3399999999997,1.3362894418408118,30.97968469728125,194.88218370766486,-0.4974174718196457,0.13841420711480407,1500.0,115.964215,-25.698276
[KPS2012]_MWSC_5292,15 27 13.000,-26 29 12.000,2276.0,3.207156305224554,18.0,2317.394649968481,-0.4974174718196457,0.06810337432526449,1414.0,231.901808,-27.883548
Cl_Alessi_18,07 37 10.800,-26 23 09.600,6343.5666666666675,3.5614379145849213,17.833333333333332,1023.2929922807537,-0.4974174718196457,0.0643274025954699,1500.0,115.964215,-25.698276
[KPS2012]_MWSC_1627,09 05 46.000,-26 20 24.000,2076.0,5.111253334823958,13.0,954.9925860214372,-0.4974174718196457,0.0458458906094331,1492.0,136.156828,-25.881032
[KPS2012]_MWSC_1268,07 34 23.000,-26 19 30.000,2262.0,1.6237916731570698,59.0,1258.9254117941662,-0.4974174718196457,0.17328193618448517,1530.0,112.961841,-25.018758
C_0746-261,07 48 23.040,-26 17 13.200,1942.64,0.9089175604415016,27.4,147.05609377238432,-0.4974174718196457,0.15783578532126033,1500.0,115.964215,-25.698276
C_0722-261,07 24 38.400,-26 12 46.800,1530.8200000000006,1.4917343714634737,48.3,175.93604867004962,-0.006666666666666667,0.1635762539547257,1435.0,110.602204,-27.292743
[KPS2012]_MWSC_1123,07 08 33.000,-26 09 30.000,1791.0,3.874957401852099,40.5,402.7170343254595,-0.4974174718196457,0.09293653714338117,1454.0,107.999984,-26.565069
ESO_486-54,05 20 06.000,-26 02 00.000,2856.0,1.088678508139399,4.0,446.68359215096353,-0.4974174718196457,0.0551026660591476,1490.0,79.843192,-25.881032
C_0746-257,07 48 40.000,-25 57 12.000,4244.0,1.7345047417814154,15.333333333333336,288.4031503126612,-0.4974174718196457,0.0854718263259971,1500.0,115.964215,-25.698276
C_0755-257,07 57 37.680,-25 55 12.000,3537.366666666667,1.93594690496676,26.0,501.1872336272715,-0.4974174718196457,0.10534947944268433,1458.0,118.946993,-26.341543
[KPS2012]_MWSC_1207,07 23 56.160,-25 52 44.400,2861.933333333333,1.1219974699170137,33.0,5.011872336272725,-0.4974174718196457,0.15590264101461937,1435.0,110.602204,-27.292743
C_0705-257,07 08 01.000,-25 52 48.000,2276.0,1.6237916731570698,39.5,776.2471166286928,-0.4974174718196457,0.14178354603264254,1454.0,107.999984,-26.565069
C_0753-258,07 55 38.640,-25 53 16.800,2338.2571428571428,1.2412672152255195,43.361592619978715,59.00238508792779,-0.4974174718196457,0.16990744578400932,1458.0,118.946993,-26.341543
NGC_6698,18 47 54.000,-25 52 36.000,4135.0,4.354714032557596,42.0,1584.8931924611109,-0.4974174718196457,0.08927652263007382,1481.0,283.285047,-26.053426
ESO_518-3,16 47 06.000,-25 48 18.000,1266.0,0.9964176176191112,119.5,1479.108388168207,-0.4974174718196457,0.31481520145148073,1453.0,252.000016,-26.565069
[KPR2005]_95,18 16 03.000,-25 42 18.000,1356.5,4.410070566869768,1691.549084572283,157.94174404202278,-0.4974174718196457,0.5630046398084871,1525.0,273.966875,-25.294611
NGC_2354,07 14 00.720,-25 43 26.400,2974.642857142857,7.137994236162207,1208.4682848648938,378.45819710810656,-0.0545,0.3740433804150874,1454.0,107.999984,-26.565069
[KPS2012]_MWSC_1631,09 09 56.000,-25 28 48.000,1513.0,1.2732002891799752,18.5,501.1872336272715,-0.4974174718196457,0.10957965809372026,1492.0,136.156828,-25.881032
Cl_Haffner_16,07 50 20.640,-25 27 28.800,3115.328571428571,10.532059838888737,325.5639190404905,20.892295261487238,-0.111,0.1598283868120911,1500.0,115.964215,-25.698276
[KPS2012]_MWSC_1531,08 40 51.000,-25 22 30.000,2330.0,1.8636699885098191,9.0,8.912509381337456,-0.4974174718196457,0.06317266378007756,1520.0,129.96686,-25.294627
Cl_Waterloo_3,07 55 04.000,-25 22 18.000,3459.333333333333,1.0988652949250657,29.0,316.227766016838,-0.4974174718196457,0.14767915929939715,1458.0,118.946993,-26.341543
[KPS2012]_MWSC_1205,07 23 56.000,-25 21 30.000,962.0,1.4577220702205511,5.0,1011.5794542599003,-0.4974174718196457,0.05324024909277681,1550.0,109.571474,-24.589421
[KPS2012]_MWSC_1142,07 12 53.000,-25 13 54.000,1847.0,2.5464005783599504,67.5,478.630092322638,-0.4974174718196457,0.14800656021670694,1454.0,107.999984,-26.565069
Cl_Ruprecht_137,17 59 55.000,-25 12 54.000,1420.0,2.7862788937127,111.75,418.7898903216128,-0.4974174718196457,0.1820555464066094,1541.0,270.911152,-24.889328
[KPS2012]_MWSC_2540,17 10 34.000,-25 04 30.000,7130.0,7.95288876284883,90.0,2511.886431509582,-0.4974174718196457,0.0967055149450753,1527.0,256.96182,-25.018768
[KPS2012]_MWSC_4484,19 22 19.000,-25 00 36.000,1667.0,3.207156305224554,73.0,1109.174815262401,-0.4974174718196457,0.13714936715484852,1475.0,289.573218,-26.14051
NGC_2362,07 18 41.040,-24 57 14.400,1394.7857142857142,0.864916898519111,261.109939398353,9.025667856460156,-0.4974174718196457,0.4994786761313534,1550.0,109.571474,-24.589421
Dutra-Cl_Bica_44,17 46 34.000,-24 53 42.000,2264.0,1.8636699885098191,32.0,1258.9254117941662,-0.4974174718196457,0.11911951718536169,1563.0,267.879136,-24.415822
Dutra-Cl_Bica_45,17 47 18.000,-24 53 36.000,1192.0,0.7196349460582468,26.5,1258.9254117941662,-0.4974174718196457,0.17444529305502496,1563.0,267.879136,-24.415822
[BDS2003]_106,18 01 35.000,-24 50 06.000,1478.0,0.4982088088095555,19.5,14.125375446227554,-0.4974174718196457,0.17984735116186007,1541.0,270.911152,-24.889328
