ID,RA[hr],Dec[deg],dist[pc],rhm[pc],mass[Msun],age[Myr],[Fe/H],sigma_v0_z[km/s],OpSimID,OpSimRA[deg],OpSimDec[deg]
NGC 6838,19 53 46.49,+18 46 45.1,4000.0,1.9431333867374068,31697.86384922228,13049.107142857143,-0.78,2.3,3485.0,297.898534,18.092196
NGC 6864,20 06 04.69,-21 55 16.2,20900.0,2.7965992548030374,484205.809347236,11081.82198660714,-1.29,10.3,1634.0,300.30961,-22.701923
NGC 6934,20 34 11.37,+07 24 16.1,15600.0,3.1311207201242426,172595.70955339403,10110.119047619048,-1.47,5.1,2943.0,308.525212,6.538108
NGC 6981,20 53 27.70,-12 32 14.3,17000.0,4.598942691195246,118312.32683509485,9992.559523809523,-1.42,4.61082288556612,2043.0,314.246019,-13.065098
NGC 7006,21 01 29.38,+16 11 14.4,41200.0,5.273221475486887,211363.5018427321,11081.82198660714,-1.52,5.7553194325459955,3434.0,314.866121,17.532397
NGC 7078,21 29 58.33,+12 10 01.2,10400.0,3.025237455451285,857097.0407948801,11873.511904761903,-2.37,13.5,3233.0,324.000014,12.562007
NGC 7089,21 33 27.02,-00 49 23.7,11500.0,3.5459273760108823,739656.3595605333,10815.476190476187,-1.65,8.2,2641.0,322.417183,-0.187358
NGC 7099,21 40 22.12,-23 10 47.5,8100.0,2.426880397517708,172595.70955339403,11873.511904761903,-2.27,5.5,1555.0,325.571419,-24.589375
Pal 12,21 46 38.84,-21 15 09.4,19000.0,9.506227452420212,11092.51425915821,7994.047619047619,-0.85,0.9819815730624109,1658.0,327.341242,-22.26729
Pal 13,23 06 44.44,+12 46 19.2,26000.0,2.7227136430637864,5768.063006253216,11081.82198660714,-1.88,0.9,3257.0,347.046568,13.403892
NGC 7492,23 08 26.63,-15 36 41.4,26300.0,8.797914199270425,38109.214359264966,11081.82198660714,-1.78,1.2,2005.0,346.279394,-14.441484
