,Name,RA,Dec,dist[kpc],rh[pc],r_c,mass[Msun],Age,Z,sigma_v[km/s],sigma_source,OpSim ID,OpSim RA,OpSim Dec,Source Flag,Cluster Type,dist flag,Age flag,Z flag
923,ASCC_26,102.59999999999998,7.25,0.8,1.286,,28.973435877013227,8090.0,-0.6200110307287995,0.1368076245707362,rh,2970.0,101.807662963867,7.20773,W,O,,A,Z
924,ASCC_28,103.51249999999999,0.16972222222222222,0.8,2.182,,224.3881923782766,8340.0,0.0,0.29228290379185246,rh,2632.0,103.25632476806601,-0.279719,W,O,,A,Z
925,ASCC_30,104.24583333333332,-6.21,0.8,1.265,,148.2518085145953,8200.0,-0.282813667909558,0.3120222208934888,rh,2402.0,103.188545227051,-5.2086,W,O,,A,Z
926,ASCC_33,105.79166666666666,-25.049722222222226,0.8,-9.999,,7780.365510398041,7260.0,-0.166,1.2001148291704964,rh*,1554.0,106.42858123779301,-24.5894,W,O,,A,Z
927,ASCC_35,108.1625,2.1197222222222223,0.8,1.53,,464.5152752227492,8490.0,0.13,0.502209670362129,rh,2761.0,107.999984741211,2.3081,W,O,,A,Z
928,ASCC_42,118.2125,-53.00972222222222,0.8,1.206,,610.9420249055721,8570.0,-0.023720313765907157,0.6487197687199938,rh,509.0,117.42990875244101,-53.6561,W,O,,A,Z
929,ASCC_56,152.05416666666665,-64.36999999999999,0.8,1.699,,534.5643593969719,8080.0,-0.15190909555426366,0.5112509135394021,rh,289.0,154.61355590820298,-63.321,W,O,,A,Z
930,ASCC_60,158.27916666666664,-58.47972222222222,0.8,-9.999,,19.453600816226633,8360.0,-0.3803357480743683,0.06809290726411113,rh*,410.0,158.754135131836,-57.9581,W,O,,A,Z
931,ASCC_79,229.7958333333333,-60.72972222222222,0.8,-9.999,,2328.091257665008,6860.0,-0.3832499070449276,0.8702891276420658,rh*,350.0,228.885589599609,-60.661,W,O,,A,Z
932,ASCC_82,236.8458333333333,-64.41000000000001,0.8,1.107,,370.680721782576,8670.0,0.05,0.5274204634637126,rh,254.0,238.80354309082,-64.7826,W,O,,A,Z
933,ASCC_91,267.22499999999997,-37.36,0.8,-9.999,,412.0975190973304,8650.0,-0.035,0.4162820526422011,rh*,1006.0,266.088958740234,-38.359,W,O,,A,Z
934,ASCC_97,279.2375,-19.21972222222222,0.8,1.5630000000000002,,722.7698036021702,7880.0,0.129,0.6197996083436945,rh,1735.0,280.355926513672,-20.3633,W,O,,A,Z
935,ASCC_98,280.6458333333333,-33.63,0.8,2.4930000000000003,,3296.0971217745796,8330.0,0.1332755272145633,1.0480201848372388,rh,1149.0,281.175262451172,-34.3325,W,O,,A,Z
936,ASCC_104,294.7166666666666,18.69,0.8,-9.999,,1517.050367459337,7710.0,0.3393173562849533,1.1070656104281913,rh*,3444.0,294.62689208984403,17.6964,W,O,,A,Z
937,ASCC_110,300.74583333333334,33.569722222222225,0.8,-9.999,,158.12480392703827,8750.0,0.01,0.1106093692973867,rh*,4071.0,300.637786865234,32.4591,W,O,,A,Z
938,ASCC_126,346.5708333333333,51.04972222222222,0.8,-9.999,,322.10687912834345,7260.0,-0.25573521783017933,0.41533416327756356,rh*,4724.0,346.436889648438,51.7583,W,O,,A,Z
939,Collinder_89,94.87083333333332,23.299722222222226,0.8,2.552,,1482.5180851459545,7500.0,-0.10104999863829199,0.6946890469129813,rh,3661.0,95.6903915405273,22.7019,W,O,,A,Z
940,Collinder_236,164.3208333333333,-61.11,0.8,-9.999,,104.47202192208003,8370.0,0.042,0.23080910136837762,rh*,353.0,163.103424072266,-60.0723,W,O,,A,Z
941,ESO_130-08,182.57916666666662,-59.516666666666666,0.8,-9.999,,85.11380382023764,9020.0,-0.25,0.201868601017088,rh*,362.0,180.0,-59.6927,W,O,,A,Z
942,NGC_2143,90.77916666666665,5.769722222222222,0.8,3.01,,78.8860117618554,9150.0,0.0,0.14755282836378825,rh,2934.0,89.4142532348633,6.26211,W,O,,A,Z
943,Ruprecht_64,129.32916666666665,-40.15,0.8,2.219,,2089.296130854039,8450.0,-0.3,0.8844069267736575,rh,981.0,129.273422241211,-39.3137,W,O,,A,Z
944,NGC_7243,333.7833333333333,49.89833333333333,0.808,-9.999,,1093.956366272093,8058.0,-0.8462101389667527,0.49794423444908426,rh*,4690.0,333.433746337891,50.5834,W,O,,A,Z
945,Ruprecht_113,239.36666666666662,-59.49,0.81,-9.999,,1538.154640303034,8230.0,-0.31,0.5314239932149554,rh*,367.0,241.065979003906,-59.2422,W,O,,A,Z
946,NGC_2168,92.25,24.35,0.8160000000000001,4.793,,3614.0986263961354,7979.0,-0.16,0.7914565397360129,rh,3752.0,90.9111557006836,24.8893,W,O,,A,Z
947,NGC_6514,270.675,-22.971666666666664,0.8160000000000001,-9.999,,138.9952631213354,7367.999999999998,0.14396689279099506,0.15961963471658455,rh*,1668.0,269.615325927734,-21.9104,W,O,,A,Z
948,Berkeley_9,53.154166666666654,52.651111111111106,0.8200000000000001,0.9541137550008948,,,9600.0,-0.3467866261930553,5.216429338798552,m*rh,4735.0,53.5985527038574,52.4591,W,O,,A,Z
949,NGC_1896,81.41666666666666,29.299722222222226,0.8200000000000001,3.447,,34.753616144320574,8800.0,0.0,0.0915187637089321,rh,3929.0,80.7148056030273,28.7786,W,O,,A,Z
950,Ruprecht_168,268.19166666666666,-28.433333333333334,0.8200000000000001,0.9541137550008948,,,9300.0,0.0,0.6923663744264863,m*rh,1430.0,269.009185791016,-27.4389,W,O,,A,Z
951,NGC_1502,61.95833333333333,62.33166666666667,0.8210000000000001,1.646,,81.47042840208397,7051.0,0.14051478317290675,0.2027756821367611,rh,4984.0,60.05534362792971,62.0212,W,O,,A,Z
952,ESO_430-18,121.71666666666665,-30.836666666666666,0.8300000000000001,1.929,,79.79946872679764,9050.0,-0.03,0.1853807661323399,rh,1325.0,122.89208221435499,-29.9663,W,O,,A,Z
953,Trumpler_37,324.7749999999999,57.5,0.835,21.622188149171034,,,7053.999999999998,-0.33194332789743775,0.14684770284419757,m*rh,4848.0,324.000030517578,56.0711,W,O,,A,Z
954,Collinder_197,131.21249999999998,-41.233333333333334,0.838,6.094215402722603,,,7127.999999999999,0.08,0.2991423226534286,m*rh,876.0,130.406555175781,-42.1846,W,O,,A,Z
955,Antalova_1,262.22916666666663,-31.56972222222222,0.85,-9.999,,137.08817661648536,8500.0,-0.655,0.5363345720849865,rh*,1233.0,261.46429443359403,-31.8504,W,O,,A,Z
956,ASCC_50,132.56666666666666,-41.72,0.85,-9.999,,610.9420249055721,7480.0,-0.3886458129148297,0.5288528540670719,rh*,865.0,134.263534545898,-42.4899,W,O,,A,Z
957,ASCC_94,273.9,-14.989722222222222,0.85,-9.999,,350.75187395256796,8780.0,-0.35926873086245353,0.4014501027510635,rh*,2000.0,274.279388427734,-14.4415,W,O,,A,Z
958,NGC_2112,88.43749999999999,0.41000000000000003,0.85,4.450630264845109,,,9301.0,-1.544,0.07519769450540342,m*rh,2702.0,89.2585220336914,1.19952,W,O,,A,Z
959,NGC_5593,216.40416666666664,-54.79972222222222,0.85,1.077,,36.224299841669875,8770.0,0.32,0.16715637133889621,rh,444.0,215.999969482422,-56.0711,W,O,,A,Z
960,IC_5146,328.34999999999997,47.266666666666666,0.852,4.956790998933954,,,6000.0,0.15,0.34096856893788163,m*rh,4631.0,326.206878662109,48.2011,W,O,,A,Z
